brand,product_name,color_name,price,personal_color,color_detail,texture_tag,pros_summary,cons_summary,key_ingredients,product_id
투크,새틴 도화밤,12 소프티,15000,#봄웜톤 #여름쿨톤,부드러운 핑크 베이지 수채화 컬러,#새틴 #크림밤 #세미매트,손에서 녹아 뭉침 없이 얇게 밀착되고 실키한 마무리,지속력이 파우더보다 약하고 겹발림시 뭉칠 수 있음,시어버터,eye_투크_12_소프티_1763391225020
투크,새틴 도화밤,13 이노센트,15000,#여름쿨톤 #봄웜톤라이트,맑고 청순한 베이지 핑크,#새틴 #크림밤,레이어링할수록 자연스럽게 스며들어 텁텁함 없음,크림 제형이라 브러시보다 퍼프 사용 권장,스쿠알란,eye_투크_13_이노센트_1763391225021
투크,새틴 도화밤,07 메모러블,15000,#여름쿨톤뮤트 #겨울쿨톤,뮤트와 라이트 경계 오묘한 라벤더,#새틴 #크림밤,쿨톤 정석 뮤트 라벤더로 퍼프 사용시 맑은 발색,채도감이 있어 양 조절 실패시 과발색,호호바오일,eye_투크_07_메모러블_1763391225022
투크,새틴 도화밤,01 스트로베리,15000,#봄웜톤 #가을웜톤라이트,생기있는 스트로베리 핑크,#멜로우 #부드러움,보들 말랑한 멜로우 텍스처로 발색 좋음,멜로우 제형이라 양 조절 어렵고 과발색 주의,토코페롤,eye_투크_01_스트로베리_1763391225023
투크,새틴 도화밤,02 복숭아,15000,#봄웜톤 #가을웜톤라이트,따뜻한 복숭아 코랄빛,#멜로우 #크리미,멜로우 텍스처가 피부에 녹아들듯 밀착,밝은 톤이라 음영 표현 약하고 여름에 번질 수 있음,미네랄 오일,eye_투크_02_복숭아_1763391225024
투크,새틴 도화밤,03 벚꽃,15000,#봄웜톤 #여름쿨톤,은은한 벚꽃 핑크 컬러,#크림밤 #실키,실키하게 마무리되는 세미매트로 수채화 느낌,크림 제형이라 지속력이 파우더보다 낮음,시어버터,eye_투크_03_벚꽃_1763391225025
투크,새틴 도화밤,04 실루엣,15000,#가을웜톤뮤트 #여름쿨톤,차분한 베이지 로즈 톤,#크림밤 #세미매트,뭉침 없이 얇게 밀착되어 자연스러운 음영,밀착력은 좋으나 지속력은 보통,스쿠알란,eye_투크_04_실루엣_1763391225026
투크,새틴 도화밤,05 타로밀크,15000,#여름쿨톤 #겨울쿨톤,맑은 타로 라벤더 밀크,#크림밤 #부드러움,쿨톤에게 잘 어울리는 타로빛으로 발색 예쁨,단독 사용시 너무 연해서 레이어링 필수,호호바오일,eye_투크_05_타로밀크_1763391225027
투크,새틴 도화밤,06 로즈니,15000,#봄웜톤 #가을웜톤,따뜻한 로즈 코랄 컬러,#크림밤 #세미매트,적당한 발색으로 데일리 사용 좋고 블렌딩 쉬움,펄감 없어 단조롭고 특별함 부족,시어버터,eye_투크_06_로즈니_1763391225028
투크,새틴 도화밤,08 투투,15000,#여름쿨톤 #봄웜톤,소프트한 핑크 베이지,#크림밤 #실키,얇고 맑은 컬러감으로 깔끔한 마무리,크림 제형이라 여름철 번지기 쉬움,토코페롤,eye_투크_08_투투_1763391225029
투크,새틴 도화밤,09 모먼트 살몬,15000,#봄웜톤 #여름쿨톤,은은한 살몬 핑크,#크림밤 #세미매트,수채화처럼 맑게 발색되어 자연스러움,색이 연해서 2-3회 겹바름 필요,미네랄 오일,eye_투크_09_모먼트_살몬_1763391225030
투크,새틴 도화밤,10 피크,15000,#봄웜톤 #가을웜톤라이트,밝은 피치 코랄 톤,#크림밤 #부드러움,혈색 메이크업에 좋고 자연스러운 발색,지속력 약하고 밀릴 수 있음,시어버터,eye_투크_10_피크_1763391225031
투크,새틴 도화밤,11 데이즈,15000,#봄웜톤 #가을웜톤,따뜻한 코랄 베이지,#크림밤 #세미매트,자연스러운 음영 연출 가능하고 블렌딩 쉬움,피부톤에 따라 탁해 보이거나 주황기 강할 수 있음,스쿠알란,eye_투크_11_데이즈_1763391225032
홀리카홀리카,마이페이브 피스 아이섀도우,시나몬 스파이스,4800,#가을웜톤 #봄웜톤,깊은 시나몬 브라운 계열,#매트 #버터리,버터리 질감으로 사르르 녹아들고 발색 좋음,가루날림 있고 진한 색이라 양 조절 필수,탈크,eye_홀리카홀리카_시나몬_스파이스_1763391225033
홀리카홀리카,마이페이브 피스 아이섀도우,오버 더 피치,4800,#봄웜톤라이트 #여름쿨톤,밝은 피치 코랄 톤,#매트 #소프트,입자가 고와서 발색 선명하고 레이어링 쉬움,건조한 눈꺼풀에 뭉칠 수 있고 가루날림 있음,마이카,eye_홀리카홀리카_오버_더_피치_1763391225034
홀리카홀리카,마이페이브 피스 아이섀도우,모브 시즈닝,4800,#여름쿨톤뮤트 #겨울쿨톤,차분한 모브 핑크,#매트 #실키,입자 실키하고 톤다운된 컬러로 음영 연출 좋음,진한 발색이라 소량 사용 권장,실리카,eye_홀리카홀리카_모브_시즈닝_1763391225035
홀리카홀리카,마이페이브 피스 아이섀도우,오버 더 핑크,4800,#봄웜톤 #여름쿨톤,생기있는 비비드 핑크,#매트 #버터리,색이 예쁘게 올라오고 발색 한 번에 잘 됨,가루날림 있지만 밀착력 좋아 지속력 우수,탈크,eye_홀리카홀리카_오버_더_핑크_1763391225036
홀리카홀리카,마이페이브 피스 아이섀도우,수티 위스테리아,4800,#여름쿨톤 #겨울쿨톤,쿨한 위스테리아 퍼플,#매트 #부드러움,뮤트한 퍼플로 눈두덩이 음영 주기 좋음,단독 사용시 색이 강해서 블렌딩 필수,마이카,eye_홀리카홀리카_수티_위스테리아_1763391225037
홀리카홀리카,마이페이브 피스 아이섀도우,돌체 피치,4800,#봄웜톤 #가을웜톤라이트,달콤한 피치 베이지,#매트 #소프트,부드럽게 블렌딩 잘 되고 피부에 녹아듦,밝은 컬러라 지속력 약하고 베이스 역할만 가능,실리카,eye_홀리카홀리카_돌체_피치_1763391225038
홀리카홀리카,마이페이브 피스 아이섀도우,환타스틱,6400,#여름쿨톤브라이트 #봄웜톤,화사한 핑크 베이지,#매트 #버터리,명도 높아 화사하고 베이스로 사용 좋음,텁텁할 수 있고 단독 사용시 밋밋함,탈크,eye_홀리카홀리카_환타스틱_1763391225039
홀리카홀리카,마이페이브 피스 아이섀도우,얼리 샤인,4800,#여름쿨톤 #봄웜톤라이트,밝은 아이보리 하이라이터 톤,#매트 #파우더리,베이스 또는 하이라이터 겸용 가능,너무 밝고 하얘서 자연스럽지 않을 수 있음,마이카,eye_홀리카홀리카_얼리_샤인_1763391225040
홀리카홀리카,마이페이브 피스 아이섀도우,슈가 클라우드,4800,#봄웜톤 #가을웜톤라이트,봄날 솜사탕 부드러운 코랄핑크,#매트 #실키,코랄과 핑크 중간으로 포근한 생기 연출,고명도라 은은하게 색감 쌓아야 발색됨,실리카,eye_홀리카홀리카_슈가_클라우드_1763391225041
홀리카홀리카,마이페이브 피스 아이섀도우,쥬시 모닝,4800,#봄웜톤 #가을웜톤,따뜻한 오렌지 피치,#매트 #버터리,생기있는 혈색으로 주황빛 발색 좋음,주황기 강해서 쿨톤에게 부담스러움,탈크,eye_홀리카홀리카_쥬시_모닝_1763391225042
홀리카홀리카,마이페이브 피스 아이섀도우,레이지 듀,4800,#가을웜톤딥 #봄웜톤,깊은 브라운 피치,#매트 #소프트,음영용으로 깊이감 있고 발색 좋음,과발색 주의하고 블렌딩 필수,마이카,eye_홀리카홀리카_레이지_듀_1763391225043
홀리카홀리카,마이페이브 피스 아이섀도우,블러쉬 데이즈,4800,#봄웜톤 #가을웜톤라이트,화사한 코랄 핑크,#매트 #부드러움,블러셔 겸용 가능하고 모공 커버됨,진한 발색이라 뭉침 주의,실리카,eye_홀리카홀리카_블러쉬_데이즈_1763391225044
홀리카홀리카,마이페이브 피스 아이섀도우,피치 멜바,4800,#봄웜톤 #가을웜톤라이트,말간 복숭아 속살 여린 피치,#매트 #실키,자연스러운 베이스 컬러로 데일리 사용,음영 표현 약하고 단독 사용 어려움,탈크,eye_홀리카홀리카_피치_멜바_1763391225045
홀리카홀리카,마이페이브 피스 아이섀도우,핑카부,4800,#여름쿨톤 #봄웜톤,생기있는 선명한 핑크,#매트 #버터리,발색 강하고 임팩트 있어 포인트 메이크업 좋음,진한 컬러라 블렌딩 필수이고 가루날림 있음,마이카,eye_홀리카홀리카_핑카부_1763391225046
홀리카홀리카,마이페이브 피스 아이섀도우,슬리피 버니,4800,#여름쿨톤 #봄웜톤,멀멀한 생기 그레이프 핑크,#매트 #부드러움,쌩얼 메이크업에 좋고 치크 겸용 가능,지속력 아쉽고 색이 연함,실리카,eye_홀리카홀리카_슬리피_버니_1763391225047
홀리카홀리카,마이페이브 피스 아이섀도우,츄,4800,#봄웜톤 #가을웜톤라이트,청량한 버블검 핑크,#매트 #실키,청량한 핑크로 생기 연출하고 발색 좋음,채도 높아 부담스럽고 가루날림 있음,탈크,eye_홀리카홀리카_츄_1763391225048
홀리카홀리카,마이페이브 피스 아이섀도우,베리휘그,4800,#봄웜톤 #가을웜톤,따뜻한 베이지 핑크,#매트 #버터리,데일리로 무난하고 발색 적당함,특색 없고 심심한 컬러,마이카,eye_홀리카홀리카_베리휘그_1763391225049
홀리카홀리카,마이페이브 피스 아이섀도우,허니드피치,4800,#봄웜톤 #가을웜톤라이트,꿀 피치 코랄 계열,#매트 #소프트,따뜻한 분위기 연출하고 블렌딩 쉬움,지속력 보통이고 피지에 밀릴 수 있음,실리카,eye_홀리카홀리카_허니드피치_1763391225050
홀리카홀리카,마이페이브 피스 아이섀도우,오뜨휘그,4800,#가을웜톤 #봄웜톤,깊은 피치 브라운,#매트 #부드러움,음영 표현 좋고 깊이감 있는 발색,어두운 컬러라 양 조절 필요하고 지저분해질 수 있음,탈크,eye_홀리카홀리카_오뜨휘그_1763391225051
홀리카홀리카,마이페이브 피스 아이섀도우,피치포지,4800,#봄웜톤 #가을웜톤라이트,화사한 코랄 피치,#매트 #실키,혈색감 있고 자연스러운 발색,시간 지나면 톤다운되고 지속력 약함,마이카,eye_홀리카홀리카_피치포지_1763391225052
홀리카홀리카,마이페이브 피스 아이섀도우,피치우롱티,4800,#가을웜톤 #봄웜톤,뉴트럴 피치 브라운 윈터 무드,#매트 #버터리,겨울 따뜻한 무드에 딱이고 음영 연출,음영이 약하고 단조로울 수 있음,실리카,eye_홀리카홀리카_피치우롱티_1763391225053
홀리카홀리카,마이페이브 피스 아이섀도우,타로튜튜,4800,#여름쿨톤 #겨울쿨톤,화사한 도화빛 타로 핑크,#매트 #소프트,뽀얀 타로 컬러로 쿨톤 추천하고 포인트 메이크업,단독보다 레이어링 필요하고 발색 약함,탈크,eye_홀리카홀리카_타로튜튜_1763391225054
홀리카홀리카,마이페이브 피스 아이섀도우,퍼플릿,4800,#여름쿨톤 #겨울쿨톤,포도 빠진 선명한 라벤더 퍼플,#매트 #부드러움,매트 펄로 선명한 발색 돋보이고 쿨톤 무드,색이 강해서 적당량 사용 필수,마이카,eye_홀리카홀리카_퍼플릿_1763391225055
홀리카홀리카,마이페이브 피스 아이섀도우,베베,4800,#봄웜톤 #여름쿨톤,맑은 핑크 베이지,#매트 #실키,애교살 하이라이터로 좋고 밝은 톤,단독 사용 어렵고 베이스 역할만 가능,실리카,eye_홀리카홀리카_베베_1763391225056
홀리카홀리카,마이페이브 피스 아이섀도우,러비,4800,#여름쿨톤 #봄웜톤,청량한 버블검 핑크,#매트 #버터리,청량함 느껴지고 발색 좋음,과발색 주의하고 가루날림 있음,탈크,eye_홀리카홀리카_러비_1763391225057
홀리카홀리카,마이페이브 피스 아이섀도우,베리,4800,#가을웜톤 #봄웜톤,차분한 베리 톤,#매트 #소프트,깊이감 있는 컬러로 음영 표현,어둡게 나오고 블렌딩 어려움,마이카,eye_홀리카홀리카_베리휘그_1763391225049
홀리카홀리카,마이페이브 피스 아이섀도우,핑키드,4800,#여름쿨톤 #봄웜톤라이트,쿨톤 베스트 핑크 베이스,#매트 #부드러움,베이스로 바르기 좋고 쿨톤 추천,지속력 보통이고 발색 약한 편,실리카,eye_홀리카홀리카_핑키드_1763391225059
홀리카홀리카,마이페이브 피스 아이섀도우,스트로베리 크림,4800,#봄웜톤 #가을웜톤라이트,상큼한 핑크 코랄,#매트 #실키,웜톤 베스트 컬러로 발색 선명,가루날림 있고 묵직해서 밀착력 좋음,탈크,eye_홀리카홀리카_스트로베리_크림_1763391225060
홀리카홀리카,마이페이브 피스 아이섀도우,피치오트,4800,#봄웜톤 #가을웜톤라이트,밝은 피치 오트밀 톤,#매트 #버터리,자연스러운 베이스로 부드러움,음영 부족하고 단조로움,마이카,eye_홀리카홀리카_피치오트_1763391225061
홀리카홀리카,마이페이브 피스 아이섀도우,소다,4800,#봄웜톤 #여름쿨톤,청량한 핑크 베이지,#매트 #소프트,화사한 컬러로 혈색 연출,밝아서 단독 어렵고 베이스 전용,실리카,eye_홀리카홀리카_소다_1763391225062
홀리카홀리카,마이페이브 피스 아이섀도우,베이비 타로,4800,#여름쿨톤 #겨울쿨톤,연보랏빛 감도는 쿨 핑크,#매트 #부드러움,쿨톤 라이트 메이크업에 좋음,너무 연해서 색감 쌓기 필요,탈크,eye_홀리카홀리카_베이비_타로_1763391225063
홀리카홀리카,마이페이브 피스 아이섀도우,팬지,4800,#여름쿨톤 #겨울쿨톤,청량한 라벤더 핑크,#매트 #실키,쿨톤 추천 라벤더로 청량함,단독 사용시 강하고 블렌딩 필수,마이카,eye_홀리카홀리카_팬지_1763391225064
홀리카홀리카,마이페이브 피스 아이섀도우,수퍼핑크,4800,#여름쿨톤 #봄웜톤,비비드한 선명한 핑크,#매트 #버터리,발색 강하고 임팩트 있어 포인트 메이크업,진해서 블렌딩 필수이고 조심해서 사용,실리카,eye_홀리카홀리카_수퍼핑크_1763391225065
홀리카홀리카,마이페이브 피스 아이섀도우,스트로베리 오트,4800,#봄웜톤 #가을웜톤라이트,따뜻한 베이지 핑크,#매트 #소프트,자연스러운 베이스 컬러,심심하고 특별함 없음,탈크,eye_홀리카홀리카_스트로베리_오트_1763391225066
홀리카홀리카,마이페이브 피스 아이섀도우,수퍼피치,4800,#봄웜톤 #가을웜톤,진한 피치 코랄,#매트 #부드러움,혈색감 좋고 발색 선명,주황기 강해서 조절 필요,마이카,eye_홀리카홀리카_수퍼피치_1763391225067
홀리카홀리카,마이페이브 피스 아이섀도우,버니,4800,#봄웜톤 #여름쿨톤,소프트한 핑크 베이지,#매트 #실키,은은한 데일리 컬러로 자연스러움,발색 약해서 여러 번 발라야 함,실리카,eye_홀리카홀리카_슬리피_버니_1763391225047
홀리카홀리카,마이페이브 피스 아이섀도우,이너프,4800,#여름쿨톤 #봄웜톤라이트,뉴트럴한 아이보리 베이지,#매트 #버터리,눈두덩이 베이스로 자연스럽게 밝혀줌,단독 사용 어렵고 밝아서 텁텁할 수 있음,탈크,eye_홀리카홀리카_이너프_1763391225069
